epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81019,2.39745,3.76242,2.09362,0.17015,0.36556,0.1706,0.07776,2.00542,3.32467,2.0715,0.0026,0.0026,0.0766
2,10.555,1.8366,2.38399,1.67075,0.33358,0.41906,0.30323,0.15767,1.84575,2.33789,1.76206,0.00526502,0.00526502,0.052265
3,15.1543,1.7157,2.1705,1.47826,0.28334,0.44995,0.28174,0.13571,1.91466,2.78124,1.74124,0.0078944,0.0078944,0.0278944
4,19.7553,1.7425,2.06223,1.44326,0.22062,0.42197,0.22912,0.10161,1.9624,2.62685,1.76082,0.009802,0.009802,0.009802
5,24.3048,1.75099,2.03642,1.47284,0.28638,0.37951,0.23693,0.11608,1.97465,2.98028,1.82195,0.009736,0.009736,0.009736
6,28.9973,1.75911,1.98189,1.46697,0.36464,0.41123,0.31702,0.16169,1.95721,2.63182,1.86369,0.00967,0.00967,0.00967
7,33.7396,1.70231,1.85891,1.44657,0.21754,0.45823,0.25408,0.12853,1.96581,3.19006,1.9002,0.009604,0.009604,0.009604
8,38.3781,1.71161,1.88137,1.46257,0.32483,0.4412,0.30247,0.1464,1.9283,2.46586,1.84848,0.009538,0.009538,0.009538
9,42.9568,1.67639,1.84101,1.44178,0.4113,0.43704,0.34959,0.17432,1.89993,2.80967,1.86248,0.009472,0.009472,0.009472
10,47.5159,1.64065,1.76032,1.41694,0.42169,0.33096,0.34864,0.1734,2.02343,2.69704,1.8229,0.009406,0.009406,0.009406
11,52.1462,1.62924,1.71263,1.38114,0.4289,0.42074,0.35816,0.18421,1.88837,2.37887,1.73962,0.00934,0.00934,0.00934
12,56.7721,1.62163,1.68794,1.38833,0.43396,0.47641,0.36706,0.19646,1.94092,2.16704,1.82384,0.009274,0.009274,0.009274
13,61.4462,1.60772,1.67308,1.37396,0.42359,0.47077,0.38543,0.19469,1.89802,2.11615,1.80195,0.009208,0.009208,0.009208
14,66.0859,1.56866,1.64117,1.36334,0.38243,0.42905,0.33216,0.17524,1.83931,2.3904,1.72975,0.009142,0.009142,0.009142
15,70.7722,1.54993,1.6132,1.36207,0.43278,0.45091,0.37496,0.19281,1.82319,2.20161,1.73073,0.009076,0.009076,0.009076
16,75.4281,1.57391,1.53363,1.34741,0.41205,0.45754,0.4034,0.21478,1.80721,1.97626,1.71076,0.00901,0.00901,0.00901
17,80.0035,1.52584,1.51699,1.33638,0.50067,0.44803,0.474,0.25334,1.74967,2.00945,1.68093,0.008944,0.008944,0.008944
18,84.6037,1.53129,1.51498,1.34749,0.47474,0.49441,0.43655,0.22549,1.78904,2.08933,1.66677,0.008878,0.008878,0.008878
19,89.2321,1.51506,1.48287,1.31418,0.42592,0.50095,0.41636,0.22383,1.82745,2.09527,1.68021,0.008812,0.008812,0.008812
20,93.854,1.48416,1.46818,1.31099,0.51597,0.44687,0.45464,0.2352,1.79413,2.02663,1.68164,0.008746,0.008746,0.008746
21,98.5763,1.4924,1.45431,1.31654,0.44973,0.4945,0.45116,0.25296,1.77803,1.99204,1.64002,0.00868,0.00868,0.00868
22,103.213,1.45799,1.40083,1.28818,0.50017,0.49764,0.4735,0.26264,1.76622,1.96595,1.6554,0.008614,0.008614,0.008614
23,107.78,1.44388,1.39291,1.28816,0.50036,0.52928,0.50107,0.27934,1.67993,1.83395,1.64292,0.008548,0.008548,0.008548
24,112.534,1.42021,1.3592,1.27762,0.50325,0.51654,0.48266,0.25991,1.78365,1.82692,1.66897,0.008482,0.008482,0.008482
25,117.089,1.43728,1.36666,1.30147,0.4808,0.48325,0.44136,0.24523,1.82113,1.83828,1.68106,0.008416,0.008416,0.008416
26,121.561,1.43394,1.35424,1.28872,0.50523,0.54707,0.49465,0.27938,1.76237,1.81769,1.64356,0.00835,0.00835,0.00835
27,126.055,1.39615,1.3264,1.27672,0.56136,0.54645,0.53916,0.30119,1.70463,1.7668,1.59884,0.008284,0.008284,0.008284
28,130.555,1.40922,1.30636,1.27691,0.55394,0.45087,0.47679,0.26756,1.71645,1.89736,1.63217,0.008218,0.008218,0.008218
29,135.053,1.39484,1.28281,1.27078,0.50496,0.51328,0.48922,0.26433,1.73287,1.76598,1.66085,0.008152,0.008152,0.008152
30,139.531,1.3486,1.22223,1.24269,0.5279,0.52896,0.51643,0.28574,1.71642,1.77759,1.62728,0.008086,0.008086,0.008086
31,144.007,1.35312,1.21472,1.23725,0.47457,0.60924,0.52543,0.29246,1.69156,1.67403,1.61066,0.00802,0.00802,0.00802
32,148.545,1.3534,1.19951,1.23887,0.54724,0.50667,0.51061,0.29614,1.69667,1.80352,1.63084,0.007954,0.007954,0.007954
33,153.119,1.35422,1.19929,1.24798,0.52928,0.52207,0.50928,0.28201,1.73832,1.90505,1.63397,0.007888,0.007888,0.007888
34,157.73,1.34125,1.17174,1.23318,0.51578,0.56535,0.51796,0.29152,1.7219,1.74132,1.63194,0.007822,0.007822,0.007822
35,162.283,1.32335,1.14837,1.22168,0.5634,0.55871,0.53293,0.29947,1.75911,1.76895,1.66158,0.007756,0.007756,0.007756
36,166.817,1.34214,1.15462,1.2272,0.57778,0.54635,0.50613,0.28245,1.69736,1.75321,1.65466,0.00769,0.00769,0.00769
37,171.337,1.33317,1.14474,1.22028,0.55493,0.58247,0.55,0.30822,1.70144,1.68698,1.64423,0.007624,0.007624,0.007624
38,175.936,1.29542,1.13293,1.21327,0.58408,0.51311,0.53337,0.29338,1.69905,1.66571,1.63008,0.007558,0.007558,0.007558
39,180.417,1.27337,1.09698,1.18506,0.6106,0.53035,0.54687,0.31053,1.72732,1.72502,1.66399,0.007492,0.007492,0.007492
40,184.921,1.28545,1.11105,1.202,0.55463,0.56684,0.55379,0.30888,1.6675,1.73331,1.66284,0.007426,0.007426,0.007426
41,189.442,1.27159,1.09182,1.20015,0.54391,0.60307,0.55706,0.30875,1.69927,1.67127,1.61876,0.00736,0.00736,0.00736
42,193.952,1.26681,1.07356,1.18236,0.59284,0.53923,0.54997,0.30755,1.69463,1.69036,1.62988,0.007294,0.007294,0.007294
43,198.429,1.24574,1.04589,1.18161,0.56906,0.60966,0.57665,0.32645,1.72727,1.65595,1.65271,0.007228,0.007228,0.007228
44,202.969,1.23953,1.03397,1.17743,0.62187,0.55415,0.57173,0.31328,1.75795,1.64457,1.72489,0.007162,0.007162,0.007162
45,207.433,1.23027,1.01544,1.17414,0.63638,0.51583,0.55141,0.31322,1.71062,1.64517,1.63109,0.007096,0.007096,0.007096
46,211.931,1.25731,1.04424,1.18207,0.58702,0.5232,0.55484,0.31792,1.74645,1.76699,1.64968,0.00703,0.00703,0.00703
47,216.501,1.25205,1.02405,1.16974,0.57758,0.59253,0.59852,0.35156,1.63673,1.61657,1.5969,0.006964,0.006964,0.006964
48,221.065,1.20147,0.99198,1.15383,0.59919,0.58973,0.56477,0.31846,1.68422,1.70053,1.63534,0.006898,0.006898,0.006898
49,225.612,1.20657,0.9672,1.15511,0.60043,0.55326,0.56398,0.32669,1.66712,1.61837,1.62631,0.006832,0.006832,0.006832
50,230.097,1.18869,0.97828,1.15218,0.59261,0.54309,0.52992,0.31292,1.72304,1.75043,1.67083,0.006766,0.006766,0.006766
51,234.601,1.21742,0.99353,1.15245,0.58414,0.59367,0.5502,0.31049,1.72453,1.70299,1.67261,0.0067,0.0067,0.0067
52,239.147,1.19935,0.97538,1.14957,0.6192,0.55762,0.57246,0.32389,1.6888,1.65162,1.61478,0.006634,0.006634,0.006634
53,243.624,1.16429,0.93674,1.12971,0.59348,0.59309,0.56323,0.32047,1.69589,1.65761,1.6107,0.006568,0.006568,0.006568
54,248.109,1.15865,0.93201,1.13222,0.6119,0.59984,0.58753,0.34811,1.66467,1.64405,1.61196,0.006502,0.006502,0.006502
55,252.598,1.18885,0.95021,1.13992,0.60301,0.58318,0.57102,0.33665,1.63369,1.58892,1.59078,0.006436,0.006436,0.006436
56,257.138,1.17773,0.93469,1.14822,0.60581,0.56075,0.56834,0.33507,1.62426,1.64734,1.58156,0.00637,0.00637,0.00637
57,261.624,1.14523,0.90624,1.12558,0.5756,0.61836,0.5862,0.34504,1.64343,1.64545,1.61222,0.006304,0.006304,0.006304
58,266.09,1.14768,0.90175,1.12371,0.59688,0.60047,0.6007,0.34518,1.69096,1.61426,1.62864,0.006238,0.006238,0.006238
59,270.555,1.12559,0.89169,1.11086,0.64143,0.56491,0.5848,0.34051,1.6566,1.58481,1.60275,0.006172,0.006172,0.006172
60,275.014,1.12213,0.88545,1.11885,0.56115,0.62491,0.58725,0.33654,1.66882,1.61831,1.61208,0.006106,0.006106,0.006106
61,279.467,1.11772,0.8742,1.10886,0.65342,0.60455,0.59729,0.34176,1.70899,1.65492,1.66887,0.00604,0.00604,0.00604
62,283.941,1.11906,0.87089,1.10696,0.65228,0.61951,0.60277,0.34398,1.74674,1.60662,1.66732,0.005974,0.005974,0.005974
63,288.469,1.12102,0.8504,1.10696,0.63758,0.53673,0.54614,0.30983,1.67758,1.71472,1.65614,0.005908,0.005908,0.005908
64,292.95,1.10364,0.84906,1.10398,0.58457,0.5969,0.56182,0.32638,1.66153,1.63067,1.60963,0.005842,0.005842,0.005842
65,297.399,1.0809,0.86403,1.10984,0.63369,0.58598,0.60724,0.35346,1.62835,1.54392,1.59333,0.005776,0.005776,0.005776
66,301.894,1.10891,0.85185,1.11454,0.6261,0.60954,0.60667,0.3554,1.65551,1.61218,1.62387,0.00571,0.00571,0.00571
67,306.368,1.07536,0.83806,1.0998,0.61106,0.62266,0.59862,0.34383,1.65523,1.58956,1.57831,0.005644,0.005644,0.005644
68,310.849,1.08527,0.83207,1.09434,0.57022,0.64516,0.59584,0.35322,1.62589,1.64321,1.58458,0.005578,0.005578,0.005578
69,315.328,1.06264,0.81088,1.07867,0.62162,0.65042,0.60917,0.35711,1.6909,1.60663,1.62138,0.005512,0.005512,0.005512
70,319.824,1.05706,0.80828,1.07865,0.61739,0.60929,0.59592,0.34209,1.70576,1.70043,1.67489,0.005446,0.005446,0.005446
71,324.269,1.06009,0.80167,1.09188,0.60612,0.60379,0.57657,0.33348,1.69445,1.60631,1.65275,0.00538,0.00538,0.00538
72,328.881,1.07088,0.81641,1.08169,0.65038,0.59988,0.62668,0.36642,1.64945,1.61293,1.61304,0.005314,0.005314,0.005314
73,333.418,1.04671,0.80154,1.07217,0.64001,0.60443,0.60246,0.35377,1.67922,1.65887,1.63224,0.005248,0.005248,0.005248
74,337.935,1.04707,0.79894,1.07962,0.6406,0.57033,0.58541,0.32997,1.71185,1.63918,1.68414,0.005182,0.005182,0.005182
75,342.46,1.04551,0.79961,1.07504,0.66184,0.59121,0.61248,0.3689,1.67906,1.58798,1.65088,0.005116,0.005116,0.005116
76,347.071,1.04648,0.79619,1.08096,0.63324,0.57908,0.60901,0.3584,1.64513,1.56262,1.6427,0.00505,0.00505,0.00505
77,351.574,1.02662,0.7769,1.07962,0.63584,0.61495,0.6015,0.358,1.6449,1.53565,1.6226,0.004984,0.004984,0.004984
78,356.122,1.01551,0.75734,1.05992,0.62417,0.64227,0.597,0.34427,1.68455,1.54064,1.629,0.004918,0.004918,0.004918
79,360.633,1.0097,0.74948,1.05577,0.59995,0.6198,0.58582,0.34408,1.7055,1.66623,1.65431,0.004852,0.004852,0.004852
80,365.133,0.98714,0.73944,1.05343,0.60796,0.6729,0.61617,0.3624,1.63899,1.56481,1.60971,0.004786,0.004786,0.004786
81,369.69,0.98675,0.72445,1.04585,0.64796,0.62469,0.60774,0.35147,1.69276,1.6235,1.66484,0.00472,0.00472,0.00472
82,374.216,1.00246,0.75596,1.06769,0.66001,0.58375,0.60859,0.35441,1.67346,1.55983,1.6315,0.004654,0.004654,0.004654
83,378.705,0.98298,0.73244,1.04746,0.63866,0.62803,0.60647,0.35567,1.65851,1.56571,1.63911,0.004588,0.004588,0.004588
84,383.199,0.97487,0.72943,1.04789,0.63391,0.62261,0.59331,0.35441,1.67503,1.61174,1.64378,0.004522,0.004522,0.004522
85,387.668,0.98568,0.71463,1.04945,0.59272,0.66162,0.62763,0.3729,1.68979,1.59026,1.66882,0.004456,0.004456,0.004456
86,392.177,0.96279,0.70667,1.03695,0.62278,0.64698,0.62457,0.3633,1.6633,1.58578,1.62996,0.00439,0.00439,0.00439
87,396.72,0.97205,0.70209,1.04592,0.70551,0.6043,0.64482,0.37928,1.64623,1.53459,1.61112,0.004324,0.004324,0.004324
88,401.301,0.97782,0.72541,1.0401,0.6826,0.56024,0.61538,0.36315,1.64414,1.57581,1.61568,0.004258,0.004258,0.004258
89,405.893,0.96532,0.70529,1.03961,0.64999,0.61818,0.61637,0.36702,1.67915,1.59056,1.66108,0.004192,0.004192,0.004192
90,410.51,0.95893,0.70369,1.03225,0.62917,0.6287,0.61332,0.36876,1.68037,1.62606,1.64522,0.004126,0.004126,0.004126
91,415.019,0.96616,0.70603,1.0334,0.67682,0.62979,0.62104,0.37044,1.69298,1.53607,1.68057,0.00406,0.00406,0.00406
92,419.532,0.95998,0.6977,1.03445,0.67817,0.57979,0.60461,0.36507,1.67619,1.54012,1.6537,0.003994,0.003994,0.003994
93,424.052,0.93634,0.68771,1.02352,0.66671,0.60275,0.61317,0.3652,1.64316,1.56964,1.64735,0.003928,0.003928,0.003928
94,428.55,0.93665,0.67225,1.02704,0.64809,0.62286,0.59961,0.36401,1.65813,1.59374,1.64851,0.003862,0.003862,0.003862
95,433.036,0.90875,0.65326,1.02119,0.64977,0.63446,0.62413,0.3802,1.64016,1.58333,1.61422,0.003796,0.003796,0.003796
96,437.619,0.9025,0.64966,1.01049,0.65033,0.64014,0.61487,0.3598,1.68375,1.54269,1.65022,0.00373,0.00373,0.00373
97,442.203,0.90173,0.64491,1.01506,0.60264,0.6438,0.60206,0.35984,1.70797,1.61909,1.69476,0.003664,0.003664,0.003664
98,446.784,0.90282,0.65553,1.01658,0.63223,0.63523,0.60023,0.35995,1.65026,1.54975,1.64899,0.003598,0.003598,0.003598
99,451.439,0.90634,0.65792,1.0164,0.62799,0.65787,0.61769,0.3753,1.67652,1.57309,1.6695,0.003532,0.003532,0.003532
100,456.092,0.90083,0.65073,1.01184,0.63305,0.63074,0.60731,0.36343,1.63685,1.56069,1.63389,0.003466,0.003466,0.003466
101,460.717,0.88897,0.64324,1.00773,0.63953,0.65093,0.62563,0.37489,1.63562,1.50226,1.6393,0.0034,0.0034,0.0034
102,465.309,0.8823,0.63306,1.00772,0.64134,0.64348,0.61796,0.37257,1.6673,1.54358,1.66935,0.003334,0.003334,0.003334
103,469.851,0.89727,0.64926,1.01692,0.65047,0.61361,0.60905,0.36464,1.68016,1.57119,1.67094,0.003268,0.003268,0.003268
104,474.44,0.87636,0.62802,1.00071,0.65772,0.60834,0.60629,0.36559,1.66218,1.59192,1.68501,0.003202,0.003202,0.003202
105,478.917,0.864,0.61825,1.0001,0.65108,0.60264,0.59673,0.353,1.69923,1.59075,1.6962,0.003136,0.003136,0.003136
106,483.449,0.8549,0.60805,0.99238,0.62023,0.63994,0.60061,0.36032,1.67485,1.60954,1.68187,0.00307,0.00307,0.00307
107,487.914,0.8695,0.61836,0.99758,0.62691,0.64655,0.62652,0.37647,1.67795,1.65481,1.68097,0.003004,0.003004,0.003004
108,492.364,0.85262,0.62358,0.99723,0.63831,0.6388,0.61963,0.36653,1.66119,1.53945,1.67744,0.002938,0.002938,0.002938
109,496.807,0.85189,0.6275,0.99308,0.62892,0.65268,0.61848,0.36995,1.63667,1.58127,1.6548,0.002872,0.002872,0.002872
110,501.279,0.84348,0.5959,0.98301,0.65259,0.6047,0.63121,0.38203,1.64881,1.55213,1.641,0.002806,0.002806,0.002806
111,505.773,0.84557,0.61387,0.99084,0.64755,0.61991,0.62663,0.37654,1.63276,1.58077,1.62597,0.00274,0.00274,0.00274
112,510.321,0.85074,0.59319,0.98606,0.67839,0.60031,0.63164,0.38266,1.66432,1.56325,1.64717,0.002674,0.002674,0.002674
113,514.841,0.81511,0.5806,0.97686,0.65686,0.63181,0.62071,0.37521,1.65183,1.60024,1.64789,0.002608,0.002608,0.002608
114,519.429,0.82943,0.57941,0.97791,0.68334,0.61231,0.62562,0.37842,1.65326,1.58376,1.64057,0.002542,0.002542,0.002542
115,524.018,0.82358,0.58067,0.98113,0.65434,0.645,0.63181,0.37842,1.64771,1.59365,1.65639,0.002476,0.002476,0.002476
116,528.601,0.81645,0.58701,0.97927,0.66319,0.63426,0.62856,0.37988,1.6533,1.60932,1.64846,0.00241,0.00241,0.00241
117,533.147,0.81892,0.58789,0.98521,0.68905,0.58874,0.60953,0.36807,1.65409,1.65328,1.64674,0.002344,0.002344,0.002344
118,537.658,0.80066,0.56898,0.9734,0.69556,0.61018,0.61457,0.36784,1.67306,1.62714,1.658,0.002278,0.002278,0.002278
119,542.141,0.81487,0.58216,0.97984,0.66991,0.62959,0.62517,0.3741,1.62875,1.5892,1.62335,0.002212,0.002212,0.002212
120,546.624,0.80585,0.56899,0.97813,0.62818,0.64948,0.63583,0.38448,1.65327,1.59804,1.66574,0.002146,0.002146,0.002146
121,551.112,0.79115,0.55632,0.97362,0.65082,0.64314,0.62645,0.38473,1.62155,1.60441,1.66041,0.00208,0.00208,0.00208
122,555.648,0.79518,0.56474,0.97311,0.65818,0.6357,0.6355,0.38366,1.66259,1.58545,1.67086,0.002014,0.002014,0.002014
123,560.185,0.80026,0.565,0.97576,0.67355,0.64586,0.63168,0.38131,1.66802,1.58159,1.68381,0.001948,0.001948,0.001948
124,564.688,0.77673,0.55054,0.96447,0.64465,0.66538,0.62837,0.38539,1.64567,1.62071,1.6903,0.001882,0.001882,0.001882
125,569.205,0.79073,0.55639,0.97277,0.66637,0.64576,0.62956,0.39198,1.65405,1.5829,1.68865,0.001816,0.001816,0.001816
126,573.703,0.79039,0.56011,0.97213,0.65839,0.61882,0.62013,0.38134,1.65531,1.61284,1.67109,0.00175,0.00175,0.00175
127,578.189,0.78095,0.54549,0.96429,0.67871,0.61746,0.6218,0.37838,1.66705,1.56989,1.67935,0.001684,0.001684,0.001684
128,582.671,0.77229,0.54221,0.96323,0.6607,0.63899,0.62574,0.3863,1.66733,1.54988,1.68885,0.001618,0.001618,0.001618
129,587.166,0.77747,0.55326,0.97391,0.67052,0.63313,0.63287,0.38271,1.68217,1.57459,1.69111,0.001552,0.001552,0.001552
130,591.647,0.7585,0.53617,0.95622,0.66799,0.64323,0.62412,0.3781,1.66307,1.54332,1.68209,0.001486,0.001486,0.001486
131,596.141,0.75962,0.5296,0.96106,0.64924,0.62972,0.60986,0.37454,1.65777,1.58119,1.69024,0.00142,0.00142,0.00142
132,600.676,0.77076,0.54558,0.96926,0.68552,0.63059,0.63239,0.38507,1.64618,1.53799,1.67791,0.001354,0.001354,0.001354
133,605.159,0.74559,0.52139,0.95781,0.65026,0.63706,0.62549,0.38051,1.65797,1.52347,1.67748,0.001288,0.001288,0.001288
134,609.635,0.73867,0.51984,0.94927,0.67898,0.62284,0.64315,0.3929,1.67357,1.52754,1.6858,0.001222,0.001222,0.001222
135,614.184,0.73002,0.51067,0.94747,0.65006,0.62387,0.61904,0.37383,1.66906,1.58285,1.67855,0.001156,0.001156,0.001156
136,618.66,0.73131,0.51178,0.95149,0.65456,0.62745,0.63311,0.38756,1.66395,1.55712,1.68925,0.00109,0.00109,0.00109
137,623.173,0.72193,0.51041,0.94806,0.66412,0.62789,0.63369,0.38669,1.63746,1.51479,1.67344,0.001024,0.001024,0.001024
138,627.728,0.71585,0.50364,0.93679,0.65889,0.63357,0.63132,0.38347,1.66628,1.5283,1.69727,0.000958,0.000958,0.000958
139,632.194,0.71808,0.50387,0.94911,0.65224,0.63732,0.62037,0.37343,1.66613,1.54934,1.70204,0.000892,0.000892,0.000892
140,636.724,0.7152,0.50325,0.94953,0.65998,0.64052,0.62669,0.38039,1.64982,1.54947,1.68632,0.000826,0.000826,0.000826
141,655.498,0.65296,0.4458,0.93819,0.67594,0.62829,0.6134,0.37833,1.64703,1.55925,1.68341,0.00076,0.00076,0.00076
142,660.019,0.63533,0.43306,0.9161,0.65029,0.64434,0.61241,0.37521,1.63809,1.54828,1.6856,0.000694,0.000694,0.000694
143,664.485,0.6237,0.4233,0.91539,0.63501,0.66734,0.62425,0.38287,1.63697,1.56784,1.67695,0.000628,0.000628,0.000628
144,668.961,0.62622,0.42629,0.91608,0.66197,0.65918,0.62608,0.37844,1.66221,1.57233,1.70805,0.000562,0.000562,0.000562
145,673.43,0.61239,0.41204,0.92005,0.65828,0.6705,0.6291,0.38135,1.64739,1.54935,1.69149,0.000496,0.000496,0.000496
146,677.902,0.6101,0.4119,0.91275,0.65573,0.65424,0.63211,0.38631,1.65712,1.55427,1.69856,0.00043,0.00043,0.00043
147,682.369,0.619,0.42057,0.92594,0.65927,0.64875,0.63032,0.38434,1.65105,1.54696,1.68532,0.000364,0.000364,0.000364
148,686.951,0.59481,0.40694,0.9066,0.65849,0.67776,0.63563,0.38703,1.64097,1.54841,1.67935,0.000298,0.000298,0.000298
149,691.516,0.58782,0.40458,0.89994,0.67262,0.66456,0.64557,0.39506,1.64356,1.53604,1.67839,0.000232,0.000232,0.000232
150,696.082,0.58699,0.40501,0.90655,0.66018,0.66263,0.63897,0.39074,1.64759,1.55914,1.68449,0.000166,0.000166,0.000166
